 Mario Rossi T-shirt 9.99 2 2025-01-20,
 Anna Bianchi Cappello 4.99 1 2025-01-18,
 Mario Rossi Pantaloni 19.99 1 2025-01-19,
 Luca Verdi Felpa 14.99 3 2025-01-17,
 Sophie Lemoine T-shirt 9.99 3 2022-03-15,
 Emma Schneider Pantaloni 19.99 1 2022-07-21,
 Luca Verdi Felpa 14.99 2 2022-11-05,
 Sofia Neri Cappello 4.99 1 2022-12-10,
 Emma Schneider T-shirt 9.99 1 2023-01-25,
 Max Müller Cappello 4.99 2 2023-06-14,
 Oliver Smith Felpa 14.99 1 2023-09-09,
 Charlotte Brown Pantaloni 19.99 4 2023-12-20,
